Date,رقم القيد,              ,اسم المشروع معدل,اسم المشروع,Type,Amount,Code
1-Jun-22,1980,تسوية عملاء استثمار عقارى عن الربع الثانى 2022 - اثبات مبيعات استثمار عقارى مسلمه للعملاء ومثبت لها ايراد,رؤية ( وحدات مباعه ),رؤية ( وحدات مباعه ),الاستثمار,1483286,7003
1-Jun-22,1981,تسوية عملاء استثمار عقارى عن الربع الثانى 2022 - اثبات تحويل جزء من الايراد المؤجل لايراداد الاستثمار العقارى,رؤية ( وحدات مباعه ),رؤية ( وحدات مباعه ),الاستثمار,879406,7003
1-Jun-22,1982,تسوية عملاء استثمار عقارى عن الربع الثانى 2022 - اثبات تحويل جزء من الايراد المؤجل لايراداد الاستثمار العقارى,رؤية ( وحدات مباعه ),رؤية ( وحدات مباعه ),الاستثمار,274704,7003
1-Jun-22,1983,تسوية عملاء استثمار عقارى عن الربع الثانى 2022 - اثبات تحويل جزء من الايراد المؤجل لايراداد الاستثمار العقارى,كارفور- دارنا ( وحدات مباعه ),كارفور- دارنا ( وحدات مباعه ),الاستثمار,39232,7001
1-Jun-22,1984,تسوية عملاء استثمار عقارى عن الربع الثانى 2022 - اثبات تحويل جزء من الايراد المؤجل لايراداد الاستثمار العقارى, الشمس 70 ( وحدات مباعه ), الشمس 70 ( وحدات مباعه ),الاستثمار,1007,7004
1-Jun-22,1985,تسوية عملاء استثمار عقارى عن الربع الثانى 2022 - اثبات تحويل جزء من الايراد المؤجل لايراداد الاستثمار العقارى,رؤية ( وحدات مباعه ),رؤية ( وحدات مباعه ),الاستثمار,71752,7003
1-Jun-22,1986,تسوية عملاء استثمار عقارى عن الربع الثانى 2022 - اثبات تحويل جزء من الايراد المؤجل لايراداد الاستثمار العقارى,جراج عمارة 14 دارنا ( وحدات مباعه ),جراج عمارة 14 دارنا ( وحدات مباعه ),الاستثمار,4158,7006
1-Jun-22,1987,تسوية عملاء استثمار عقارى عن الربع الثانى 2022 - اثبات تحويل جزء من الايراد المؤجل لايراداد الاستثمار العقارى,رووف العبور ( وحدات مباعه ),رووف العبور ( وحدات مباعه ),الاستثمار,774,7008
1-Jun-22,2496,تسوية عملاء مقاولات يونيه 2022 - تسوية مستخلصات ميزانيه يونيه,مركز شرطه حجازة,مركز شرطه حجازة,المقاولات,4443157.6,4143
1-Jun-22,2496,تسوية عملاء مقاولات يونيه 2022 - تسوية مستخلصات ميزانيه يونيه,مركز شرطه النمسا,مركز شرطه النمسا,المقاولات,2504029,4144
1-Jun-22,2496,تسوية عملاء مقاولات يونيه 2022 - تسوية مستخلصات ميزانيه يونيه,مركز شرطه جراجوس,مركز شرطه جراجوس,المقاولات,2546783.75,4145
1-Jun-22,2496,تسوية عملاء مقاولات يونيه 2022 - تسوية مستخلصات ميزانيه يونيه,مركز شرطه الرمادى,مركز شرطه الرمادى,المقاولات,1051935,4138
1-Jun-22,2496,تسوية عملاء مقاولات يونيه 2022 - تسوية مستخلصات ميزانيه يونيه,مركز شرطه المطاعنه,مركز شرطه المطاعنه,المقاولات,2000000,4139
1-Jun-22,2496,تسوية عملاء مقاولات يونيه 2022 - تسوية مستخلصات ميزانيه يونيه,مركز شرطه القناطر,مركز شرطه القناطر,المقاولات,1565572.45,4142
1-Jun-22,2496,تسوية عملاء مقاولات يونيه 2022 - تسوية مستخلصات ميزانيه يونيه,مركز شرطه كلابشه,مركز شرطه كلابشه,المقاولات,1199945,4140
1-Jun-22,2496,تسوية عملاء مقاولات يونيه 2022 - تسوية مستخلصات ميزانيه يونيه,مركز شرطه الرديسه,مركز شرطه الرديسه,المقاولات,1240272.5,4137
1-Jun-22,2496,تسوية عملاء مقاولات يونيه 2022 - تسوية مستخلصات ميزانيه يونيه,مركز شرطه البوصيليه,مركز شرطه البوصيليه,المقاولات,1816495,4141
1-Jun-22,2496,تسوية عملاء مقاولات يونيه 2022 - تسوية مستخلصات ميزانيه يونيه,مركز شرطه ابوتيج,مركز شرطه ابوتيج,المقاولات,1199945,4136
1-Jun-22,2496,تسوية عملاء مقاولات يونيه 2022 - تسوية مستخلصات ميزانيه يونيه,مركز شرطه الاحوال المدنيه,مركز شرطه الاحوال المدنيه,المقاولات,1000000,4146
1-Jun-22,2508,تسوية عملاء مقاولات يونيه 2022 - تسوية تعويضات مشروع ابيار ب,مصارف ابيار الثانيه ب,مصارف ابيار الثانيه ب,المقاولات,1134977.12,4055
1-Jun-22,2510,تسوية عملاء مقاولات يونيه 2022 - تسوية مستخلصات ميزانيه يونيه,رامبات الضبعة - الساحل الشمالي ,رامبات الضبعة - الساحل الشمالي ,المقاولات,10904870.56,4133
1-Jun-22,2511,تسوية عملاء مقاولات يونيه 2022 - تسوية مستخلصات ميزانيه يونيه,العاصمه الادرايه,العاصمه الادرايه,المقاولات,8240408.7,4058
1-Jun-22,2512,تسوية عملاء مقاولات يونيه 2022 - تسوية مستخلصات ميزانيه يونيه,22عمارة القاهرة,22عمارة القاهرة,المقاولات,2012279.09,4082
1-Jun-22,2513,تسوية عملاء مقاولات يونيه 2022 - تسوية مستخلصات ميزانيه يونيه,سجن سوهاج المطور,سجن سوهاج المطور,المقاولات,66225819.87,4126
1-Jun-22,2516,تسوية عملاء مقاولات يونيه 2022 - تسوية مستخلصات ميزانيه يونيه,مديريه امن اسيوط,مديريه امن اسيوط,المقاولات,55288324.38,4121
1-Jun-22,2517,تسوية عملاء مقاولات يونيه 2022 - تسوية مستخلصات من 4 الى 8 بعد الصرف + مستخلص ميزانيه,معسكر امن قنا,معسكر امن قنا,المقاولات,20548674.38,4096
1-Jun-22,2518,تسوية عملاء مقاولات يونيه 2022 - تسوية مستخلصات ميزانيه يونيه,مبنى خدمات الفحص الفني - العبور,مبنى خدمات الفحص الفني - العبور,المقاولات,13232901.33,4080
1-Jun-22,2520,تسوية عملاء مقاولات يونيه 2022 - تسوية مستخلصات ميزانيه يونيه,مبنى خدمات الفحص الفنى - بالقطامية ,مبنى خدمات الفحص الفنى - بالقطامية ,المقاولات,3683738.1,4085
1-Jun-22,2522,تسوية عملاء مقاولات يونيه 2022 - تسوية مستخلصات ميزانيه يونيه,مبنى خدمات الفحص الفنى - سوهاج ,مبنى خدمات الفحص الفنى - سوهاج ,المقاولات,7534716.19,4094
1-Jun-22,2523,تسوية عملاء مقاولات يونيه 2022 - تسوية مستخلصات ميزانيه يونيه,مبنى الحافلات – العاصمة الإدارية,مبنى الحافلات – العاصمة الإدارية,المقاولات,16610600.95,4107
1-Jun-22,2524,تسوية عملاء مقاولات يونيه 2022 - تسوية مستخلصات ميزانيه يونيه,دار الايتام بالعبور,دار الايتام بالعبور,المقاولات,5689213.33,4102
1-Jun-22,2525,تسوية عملاء مقاولات يونيه 2022 - تسوية مستخلصات ميزانيه يونيه,ستون بارك,ستون بارك,المقاولات,1981484,4118
1-Jun-22,2526,تسوية عملاء مقاولات يونيه 2022 - تسوية مستخلصات ميزانيه يونيه,شاليهات تلال السخنه - Z4,شاليهات تلال السخنه - Z4,المقاولات,6967837.7,4132
1-Jun-22,2527,تسوية عملاء مقاولات يونيه 2022 - تسوية مستخلصات ميزانيه يونيه,اعمال ترابيه والحوائط السانده تلال السخنه - Z6,اعمال ترابيه والحوائط السانده تلال السخنه - Z6,المقاولات,2560023,4119
1-Jun-22,2528,تسوية عملاء مقاولات يونيه 2022 - تسوية مستخلصات ميزانيه يونيه,محطه الهنادى - الأقصر,محطه الهنادى - الأقصر,المقاولات,16126787.93,4100
1-Jun-22,2529,تسوية عملاء مقاولات يونيه 2022 - تسوية مستخلصات ميزانيه يونيه,كوبرى تقاطع الدائرى مع بديل السويس,كوبرى تقاطع الدائرى مع بديل السويس,المقاولات,952380.95,4123
1-Jun-22,2530,تسوية عملاء مقاولات يونيه 2022 - تسوية مستخلصات ميزانيه يونيه,كبارى الضبعه,كبارى الضبعه,المقاولات,952380.95,4120
1-Jun-22,2531,تسوية عملاء مقاولات يونيه 2022 - تسوية مستخلصات ميزانيه يونيه,كوبرى الفرقه الخامسه,كوبرى الفرقه الخامسه,المقاولات,17202145.9,4128
1-Jun-22,2532,تسوية عملاء مقاولات يونيه 2022 - تسوية مستخلصات ميزانيه يونيه,نفق 26 يوليو,نفق 26 يوليو,المقاولات,37271170.48,4131
1-Jun-22,2533,تسوية عملاء مقاولات يونيه 2022 - تسوية مستخلصات ميزانيه يونيه,كوبرى الطريق الابيض,كوبرى الطريق الابيض,المقاولات,43918182.95,4130
1-Jun-22,1841,مبيعات اسمنت بدايه للطرق,المخزن,المخزن,مخزن الاسمنت,76290.35,9001
1-Jun-22,1842,مبيعات اسمنت بدايه للطرق,المخزن,المخزن,مخزن الاسمنت,66700,9001
1-Jun-22,1843,مبيعات اسمنت بدايه للطرق,المخزن,المخزن,مخزن الاسمنت,66674.56,9001
1-Jun-22,2515,تسوية عملاء مقاولات يونيه 2022 - تسوية مستخلص 1 بعد الصرف,مديريه امن الأقصر,مديريه امن الأقصر,المقاولات,25387659.85,4101
1-Jun-22,2938,تسوية عملاء مقاولات يونيه 2022 - تسوية مستخلصات ميزانيه يونيه,مصنع المصرية الألمانية لصناعة المكرونة,مصنع المصرية الألمانية لصناعة المكرونة,المقاولات,6343088.1,4129
1-Jun-22,2939,تسوية عملاء مقاولات يونيه 2022 - تسوية مستخلصات ميزانيه يونيه,مستقبل مصر,مستقبل مصر,المقاولات,93921257.14,4125
1-Jun-22,0,ايراد السعوديه - خلال الربع الثانى 2022,عملية سارى - السعوديه,عملية سارى - السعوديه,السعوديه,11552033,8001
1-Sep-22,1814,تسوية عملاء استثمار عقارى - اثبات ايرادات مبيعات استثمار عقارى لوحدات مباعه وتم تسليمها خلال الربع الثالث,رؤية ( وحدات مباعه ),رؤية ( وحدات مباعه ),الاستثمار,29540854,7003
1-Sep-22,1815,تسوية عملاء استثمار عقارى - اثبات تحويل جزء من الايراد المؤجل لايرادات الاستثمار العقارى لوحدات مسلمه فعليا,رؤية ( وحدات مباعه ),رؤية ( وحدات مباعه ),الاستثمار,452273,7003
1-Sep-22,1816,تسوية عملاء استثمار عقارى - اثبات ايرادات وتكاليف الاستثمار العقارى لوحدات مسلمه للعملاء ومثبت لها ايراد مسبقا,رؤية ( وحدات مباعه ),رؤية ( وحدات مباعه ),الاستثمار,683224,7003
1-Sep-22,1817,تسوية عملاء استثمار عقارى - اثبات مبيعات استثمار عقارى لوحدات مباعه وتم تسليمها حكميا لانها وحدات داخل الاصدار الثانى للتوريق,رؤية ( وحدات مباعه ),رؤية ( وحدات مباعه ),الاستثمار,28517095,7003
1-Sep-22,1818,تسوية عملاء استثمار عقارى - اثبات ايرادات وتكاليف استثمار عقارى لوحدات مسلمه حكميا لانها من وحدات التوريق ومثبت لها ايراد مسبقا,رؤية ( وحدات مباعه ),رؤية ( وحدات مباعه ),الاستثمار,1524472,7003
1-Sep-22,1819,تسوية عملاء استثمار عقارى - اثبات مبيعات استثمار عقارى لوحدات مباعه وتم تسليمها فعليا وتم اثبات الايراد بالكامل لانها من وحدات الاصدار الثانى للتوريق,رؤية ( وحدات مباعه ),رؤية ( وحدات مباعه ),الاستثمار,12406280,7003
1-Sep-22,1820,تسوية عملاء استثمار عقارى - رفع نسبه الايراد الى 100% وذلك للوحدات الموجوده داخل الاصدار الثانى للتوريق والتى تم تسليمها للعملاء فعليا,رؤية ( وحدات مباعه ),رؤية ( وحدات مباعه ),الاستثمار,1199031,7003
1-Sep-22,1821,تسوية عملاء استثمار عقارى - اثبات جزء من الايراد المؤجل لايراد الاستشمار العقارى,رؤية ( وحدات مباعه ),رؤية ( وحدات مباعه ),الاستثمار,227425,7003
