Revenues . 2019,,,,,,,,,,,,,,,,,,,,
,,,,كهرب,,,,,,,,,,,,,,,,
,, ,,,,,,,,,,,,,,,,,,
Date,رقم القيد,التوصيف,اسم المشروع معدل,اسم المشروع,Type,مبلغ القيد,Code,,,,,,,,,,,,,
01-Feb-2021,998,مبيعات خرسانه الميدان  ,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"6,552.63 ",3001,,,,,,,,,,,0,مصارف بركه السبع,
01-Feb-2021,999,مبيعات خرسانه بنادر  ,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"102,798.25 ",3001,,,,,,,,,,,0,مصارف السبع الثالثه,
01-Feb-2021,1000,مبيعات خرسانه القاهره  ,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"27,368.42 ",3001,,,,,,,,,,,0,مصارف المحموديه الاولى,
01-Feb-2021,1001,مبيعات خرسانه سكوير  ,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"13,684.21 ",3001,,,,,,,,,,,0,تطوير مساقى 16,
01-Feb-2021,1002,مبيعات خرسانه الوادى  ,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"73,070.18 ",3001,,,,,,,,,,,0,57ع. رؤية,
01-Feb-2021,1003,مبيعات خرسانه الصفا  ,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"5,473.68 ",3001,,,,,,,,,,,0,10ع. الوادي,
01-Feb-2021,1004,مبيعات خرسانه القاهره  ,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"421,666.67 ",3001,,,,,,,,,,,0,9 سكوير,
01-Feb-2021,1005,مبيعات خرسانه سكوير  ,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"75,263.16 ",3001,,,,,,,,,,,0,كوبرى ترعه الزمر,
01-Feb-2021,1053,تسوية عملاء مقاولات فبراير 2021 - تسوية قيمة التعويضات,الاسماعيليه الجديده,4ع الحى الرابع 173م - الاسماعيليه ,المقاولات,"4,100,378.99 ",4070,,,,,,,,,,,0,كوبرى العين السخنه,
01-Feb-2021,1059,تسوية عملاء مقاولات فبراير 2021 - تسوية مستخلص 5+6 بعد الصرف,مبنى خدمات الفحص الفني - بورسعيد,مبنى خدمات الفحص الفني - بورسعيد,المقاولات,"10,514,448.31 ",4079,,,,,,,,,,,0,كوبرى محمد نجيب,
