Date,رقم القيد,              ,اسم المشروع معدل,اسم المشروع,Type,Amount,Code
6/1/2023,2222,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلصات ميزانيه ,مركز شرطه الاحوال المدنيه,مركز شرطه الاحوال المدنيه,المقاولات,277403.93,4146
6/1/2023,2234,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلصات من 19 الى 22 بعد الصرف,محطه الهنادى - الأقصر,محطه الهنادى - الأقصر,المقاولات,67658641.55,4100
6/1/2023,2235,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلصات ميزانيه ,تطوير كورنيش المقطم,تطوير كورنيش المقطم,المقاولات,707552.38,4151
6/1/2023,2236,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلصات ميزانيه ,رامبات الضبعة - الساحل الشمالي ,رامبات الضبعة - الساحل الشمالي ,المقاولات,-1177697.14,4133
6/1/2023,2237,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلصات ميزانيه ,نفق 26 يوليو,نفق 26 يوليو,المقاولات,6071267.62,4131
6/1/2023,2238,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلصات ميزانيه ,نفق رقم 5 إمتداد الساحلي,نفق رقم 5 إمتداد الساحلي,المقاولات,8944109,4153
6/1/2023,2239,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلص جارى 2 قبل الصرف + مستخلصات ميزانيه ,مستقبل مصر,مستقبل مصر,المقاولات,109014269.7,4125
6/1/2023,2240,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلص جارى 1 بعد الصرف,مستقبل مصر 2 - حفر وتبطين,مستقبل مصر 2 - حفر وتبطين,المقاولات,22366847.6,4149
6/1/2023,2241,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلص جارى 1 بعد الصرف,الوحده الصحيه قريه الصهريج - اسيوط,الوحده الصحيه قريه الصهريج - اسيوط,المقاولات,188500,4154
6/1/2023,2242,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلص جارى 1 بعد الصرف,الوحده الصحيه قريه العزيه - اسيوط,الوحده الصحيه قريه العزيه - اسيوط,المقاولات,1072000,4155
6/1/2023,2243,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلص جارى 1 بعد الصرف,الوحده الصحيه قريه الحواتكه - اسيوط,الوحده الصحيه قريه الحواتكه - اسيوط,المقاولات,1914380.95,4156
6/1/2023,2244,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلصات ميزانيه ,سجن سوهاج المطور,سجن سوهاج المطور,المقاولات,102418131.9,4126
6/1/2023,2245,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلصات ميزانيه ,كوبرى جمصه,كوبرى جمصه,المقاولات,24798121.7,4117
6/1/2023,2246,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلصات ميزانيه ,كوبرى ناهيا,كوبرى ناهيا,المقاولات,109499375.3,4163
6/1/2023,2247,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلص 8 قبل الصرف,شاليهات تلال السخنه - Z4,شاليهات تلال السخنه - Z4,المقاولات,11803635.99,4132
6/1/2023,2248,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلص 7 قبل الصرف,اعمال ترابيه والحوائط السانده تلال السخنه - Z6,اعمال ترابيه والحوائط السانده تلال السخنه - Z6,المقاولات,11247894.37,4119
